epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2764,0,75.4289,0,0,0,0,0,0,12.3139,0,0,0,0
2,28.1633,0,75.2722,0,0,0,0,0,0,12.3254,0,1.9604e-05,1.9604e-05,1.9604e-05
3,33.1729,0,75.2252,0,0,0,0,0,0,12.3393,0,3.8416e-05,3.8416e-05,3.8416e-05
4,39.537,0,74.4443,0,0,0,0,0,0,12.3537,0,5.6436e-05,5.6436e-05,5.6436e-05
5,46.3152,0,74.0309,0,0,0,0,0,0,12.3671,0,7.3664e-05,7.3664e-05,7.3664e-05
6,52.5129,0,73.4941,0,0,0,0,0,0,12.3748,0,9.01e-05,9.01e-05,9.01e-05
7,57.9806,0,73.0462,0,0,0,0,0,0,12.3745,0,0.000105744,0.000105744,0.000105744
8,63.1263,0,72.3415,0,0,0,0,0,0,12.3683,0,0.000120596,0.000120596,0.000120596
9,67.6083,0,71.8486,0,0,0,0,0,0,12.3586,0,0.000134656,0.000134656,0.000134656
10,72.6687,0,71.1245,0,0,0,0,0,0,12.3519,0,0.000147924,0.000147924,0.000147924
11,77.8421,0,70.1461,0,0,0,0,0,0,12.3497,0,0.0001604,0.0001604,0.0001604
12,82.5185,0,69.0152,0,0,0,0,0,0,12.351,0,0.000172084,0.000172084,0.000172084
13,87.5508,0,68.2195,0,0,0,0,0,0,12.3536,0,0.000182976,0.000182976,0.000182976
14,92.8149,0,66.758,0,0,0,0,0,0,12.3551,0,0.000193076,0.000193076,0.000193076
15,98.2185,0,65.3406,0,0,0,0,0,0,12.353,0,0.000202384,0.000202384,0.000202384
16,103.179,0,63.9416,0,0,0,0,0,0,12.3429,0,0.0002109,0.0002109,0.0002109
17,108.45,0,62.9918,0,0,0,0,0,0,12.3109,0,0.000218624,0.000218624,0.000218624
18,114.505,0,61.4289,0,0,0,0,0,0,12.3109,0,0.000225556,0.000225556,0.000225556
19,121.225,0,61.4641,0,0,0,0,0,0,12.2444,0,0.000231696,0.000231696,0.000231696
20,126.794,0,59.7816,0,0,0,0,0,0,12.2444,0,0.000237044,0.000237044,0.000237044
21,133.382,0,60.1375,0,0,0,0,0,0,12.1414,0,0.0002416,0.0002416,0.0002416
22,140.6,0,58.6296,0,0,0,0,0,0,12.1414,0,0.000245364,0.000245364,0.000245364
23,152.807,0,58.7462,0,0,0,0,0,0,12.0129,0,0.000248336,0.000248336,0.000248336
24,159.343,0,57.0662,0,0,0,0,0,0,12.0129,0,0.000250516,0.000250516,0.000250516
25,166.278,0,57.4149,0,0,0,0,0,0,11.8841,0,0.000251904,0.000251904,0.000251904
26,175.039,0,56.8927,0,0,0,0,0,0,11.8841,0,0.0002525,0.0002525,0.0002525
27,185.973,0,57.0328,0,0,0,0,0,0,11.7506,0,0.000252304,0.000252304,0.000252304
28,193.058,0,55.1404,0,0,0,0,0,0,11.7506,0,0.000251316,0.000251316,0.000251316
29,200.933,0,55.0465,0,0,0,0,0,0,11.5822,0,0.000249536,0.000249536,0.000249536
30,208.602,0,54.1556,0,0,0,0,0,0,11.5822,0,0.000246964,0.000246964,0.000246964
31,216.198,0,54.2119,0,0,0,0,0,0,11.443,0,0.0002436,0.0002436,0.0002436
32,222.363,0,53.4031,0,0,0,0,0,0,11.443,0,0.000239444,0.000239444,0.000239444
33,228.532,0,53.4341,0,0,0,0,0,0,11.3457,0,0.000234496,0.000234496,0.000234496
34,236.079,0,52.8293,0,0,0,0,0,0,11.3457,0,0.000228756,0.000228756,0.000228756
35,242.33,0,52.7896,0,0,0,0,0,0,11.2441,0,0.000222224,0.000222224,0.000222224
36,250.996,0,53.5881,0,0,0,0,0,0,11.2441,0,0.0002149,0.0002149,0.0002149
37,259.572,0,59.8515,0,0,0,0,0,0,11.1462,0,0.000206784,0.000206784,0.000206784
38,265.945,0,51.0431,0,0,0,0,0,0,11.1462,0,0.000197876,0.000197876,0.000197876
39,274.63,0,51.3243,0,0,0,0,0,0,11.0294,0,0.000188176,0.000188176,0.000188176
40,285.033,0,50.9084,0,0,0,0,0,0,11.0294,0,0.000177684,0.000177684,0.000177684
41,295.332,0,58.1751,0,0,0,0,0,0,10.9492,0,0.0001664,0.0001664,0.0001664
42,303.712,0,50.3527,0,0,0,0,0,0,10.9492,0,0.000154324,0.000154324,0.000154324
43,311.468,0,50.8441,0,0,0,0,0,0,10.8851,0,0.000141456,0.000141456,0.000141456
44,321.381,0,52.1604,0,0,0,0,0,0,10.8851,0,0.000127796,0.000127796,0.000127796
45,327.251,0,49.9662,0,0,0,0,0,0,10.8383,0,0.000113344,0.000113344,0.000113344
46,332.472,0,49.9448,0,0,0,0,0,0,10.8383,0,9.81e-05,9.81e-05,9.81e-05
47,338.571,0,50.4699,0,0,0,0,0,0,10.7876,0,8.2064e-05,8.2064e-05,8.2064e-05
48,344.758,0,49.8623,0,0,0,0,0,0,10.7876,0,6.5236e-05,6.5236e-05,6.5236e-05
49,351.246,0,50.1227,0,0,0,0,0,0,10.7307,0,4.7616e-05,4.7616e-05,4.7616e-05
50,359.362,0,50.4813,0,0,0,0,0,0,10.7307,0,2.9204e-05,2.9204e-05,2.9204e-05
